"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
287,28.600,200,1761.221,30888,4,400.000,4,-105.2212904,39.7514602,1761.2213636,0.000,28.600,0.000,0.000,28.600,0.000,21.000,"0x0",3190.086669921875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
288,28.700,200,1761.224,30996,4,400.000,4,-105.2212911,39.7514598,1761.2240000,0.000,28.700,0.000,0.000,28.700,0.000,21.000,"0x0",3190.17138671875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
289,28.800,200,1761.230,31104,4,400.000,4,-105.2212918,39.7514594,1761.2297000,0.000,28.800,0.000,0.000,28.800,0.000,21.000,"0x0",3190.263671875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
290,28.900,200,1761.235,31212,4,400.000,4,-105.2212925,39.7514590,1761.2354000,0.000,28.900,0.000,0.000,28.900,0.000,21.000,"0x0",3190.358642578125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
291,29.000,200,1761.241,31320,4,400.000,4,-105.2212932,39.7514586,1761.2411000,0.000,29.000,0.000,0.000,29.000,0.000,21.000,"0x0",3190.446044921875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
292,29.100,200,1761.247,31428,4,400.000,4,-105.2212939,39.7514582,1761.2468000,0.000,29.100,0.000,0.000,29.100,0.000,21.000,"0x0",3190.5361328125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
293,29.200,200,1761.252,31536,4,400.000,4,-105.2212947,39.7514579,1761.2525000,0.000,29.200,0.000,0.000,29.200,0.000,21.000,"0x0",3190.631103515625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
294,29.300,200,1761.258,31644,4,400.000,4,-105.2212954,39.7514575,1761.2582000,0.000,29.300,0.000,0.000,29.300,0.000,21.000,"0x0",3190.722412109375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
295,29.400,200,1761.264,31752,4,400.000,4,-105.2212961,39.7514571,1761.2639000,0.000,29.400,0.000,0.000,29.400,0.000,21.000,"0x0",3190.8203125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
296,29.500,200,1761.270,31860,4,400.000,4,-105.2212968,39.7514567,1761.2696000,0.000,29.500,0.000,0.000,29.500,0.000,21.000,"0x0",3190.932861328125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
