"","TRACE",1,2,3,4,5
"","Position (m)",0,0.10000000000000001,0.20000000000000001,0.30000000000000004,0.40000000000000002
"Point","Time (ns)"
535,-434.42399999999998,90,-36,-102,42,69
536,-434.024,61,73,45,-50,6
537,-433.62400000000002,79,80,69,175,16
538,-433.22399999999999,10,-19,15,45,-54
539,-432.82400000000001,137,-30,-13,-83,-74
540,-432.42399999999998,-167,14,3,-80,113
541,-432.024,-56,59,-48,-119,-177
542,-431.62400000000002,-4,24,69,24,151
543,-431.22399999999999,-66,-161,-21,31,-41
544,-430.82400000000001,73,79,-33,-56,5
545,-430.42399999999998,-247,28,-25,-122,-27
546,-430.024,-109,10,30,81,-43
547,-429.62400000000002,17,-14,7,-48,227
548,-429.22399999999999,6,-68,-79,-77,-19
549,-428.82400000000001,83,-4,47,123,-67
550,-428.42399999999998,27,-117,25,3,31
551,-428.024,-47,30,-9,72,-42
552,-427.62400000000002,101,-6,-58,-43,87
553,-427.22399999999999,59,-93,-124,-3,-42
554,-426.82400000000001,15,-40,98,157,107
555,-426.42399999999998,-57,-9,-40,141,61
556,-426.024,7,47,-48,156,-42
557,-425.62400000000002,-117,-115,38,155,41
558,-425.22399999999999,12,138,-112,-115,-16
559,-424.82400000000001,12,-6,3,75,64
560,-424.42399999999998,-29,81,-103,64,-114
561,-424.024,47,56,20,-35,-25
562,-423.62400000000002,-126,-89,-37,9,44
563,-423.22399999999999,-23,-18,67,-2,-64
564,-422.82400000000001,97,105,49,-67,-79
565,-422.42399999999998,-67,59,-93,8,32
566,-422.024,92,-35,-21,-21,102
567,-421.62400000000002,-7,23,34,42,-79
568,-421.22399999999999,-54,55,39,24,91
569,-420.82400000000001,53,9,55,-4,-21
570,-420.42399999999998,0,57,43,25,-92
571,-420.024,100,68,51,-141,-8
572,-419.62400000000002,-7,57,78,-114,167
573,-419.22399999999999,-66,-65,-75,-60,46
574,-418.82400000000001,7,-31,45,-20,5
575,-418.42399999999998,-263,59,-10,-119,-12
576,-418.024,69,62,-88,-68,-109
577,-417.62400000000002,-52,36,172,5,-26
578,-417.22399999999999,-34,-37,14,-102,-23
579,-416.82400000000001,46,51,22,-186,-66
580,-416.42399999999998,7,-60,27,-8,-33
581,-416.024,86,50,42,-13,-148
582,-415.62400000000002,88,-82,-157,99,74
583,-415.22399999999999,-192,4,-88,-65,-57
584,-414.82400000000001,-49,9,-9,-163,-48
585,-414.42399999999998,-89,-133,-16,41,35
586,-414.024,14,58,20,126,78
587,-413.62400000000002,70,133,-69,159,118
588,-413.22399999999999,15,47,20,-69,-84
589,-412.82400000000001,-42,5,54,-22,53
590,-412.42399999999998,-12,71,-98,-138,81
591,-412.024,116,-22,-42,-51,43
592,-411.62400000000002,22,-65,-36,129,23
593,-411.22399999999999,-66,11,29,5,-7
